,year,num_days_above_90
0,2024,175.0
1,2025,154.0
2,2026,137.0
3,2027,156.0
4,2028,166.0
5,2029,175.0
6,2030,183.0
7,2031,165.0
8,2032,174.0
9,2033,174.0
10,2034,133.0
11,2035,168.0
12,2036,205.0
13,2037,197.0
14,2038,181.0
15,2039,228.0
16,2040,230.0
17,2041,217.0
18,2042,202.0
19,2043,199.0
20,2044,189.0
21,2045,217.0
22,2046,254.0
23,2047,230.0
24,2048,220.0
25,2049,243.0
26,2050,283.0
27,2051,301.0
28,2052,272.0
29,2053,267.0
30,2054,275.0
31,2055,271.0
32,2056,246.0
33,2057,262.0
34,2058,287.0
35,2059,301.0
36,2060,272.0
37,2061,283.0
38,2062,315.0
39,2063,312.0
40,2064,295.0
41,2065,288.0
42,2066,318.0
43,2067,336.0
44,2068,344.0
45,2069,330.0
46,2070,345.0
47,2071,341.0
48,2072,321.0
49,2073,320.0
50,2074,331.0
51,2075,354.0
52,2076,346.0
53,2077,335.0
54,2078,342.0
55,2079,356.0
56,2080,352.0
